product_code,name,slug,url,parent_category,category,price_min_diamond,price_min_titanium,price_max,processing_time_days_from,processing_time_days_to,fulfil_location_codes,suppliers,option_labels,variant_combinations,image_count
PC,Phone Case,phone-case-pc,https://printway.io/product/phone-case-pc,Accessories,Phone Accessories,8.75,9.75,15.61,1,3,CN|VN,Printway|Zimo,Style|Title,360,14
BAQ,Adult Black Running Shoes,adult-black-running-shoes-baq,https://printway.io/product/adult-black-running-shoes-baq,Accessories,Shoes,36.5,37.5,37.5,5,7,CN,Forudesigns,Size,14,7
Z64,Adult Black Slide Sandals,adult-black-slide-sandals-z64,https://printway.io/product/adult-black-slide-sandals-z64,Accessories,Shoes,29.5,30.5,30.5,5,7,CN,Forudesigns,Size,10,9
Z39A,Adult White Low Top Canvas Shoes,adult-white-low-top-canvas-shoes-z39a,https://printway.io/product/adult-white-low-top-canvas-shoes-z39a,Accessories,Shoes,36.5,37.5,37.5,5,7,CN,Forudesigns,Size,14,7
AQ,Adult White Running Shoes,adult-white-running-shoes-aq,https://printway.io/product/adult-white-running-shoes-aq,Accessories,Shoes,36.5,37.5,37.5,5,7,CN,Forudesigns,Size,14,7
Z65,Adult White Slide Sandals,adult-white-slide-sandals-z65,https://printway.io/product/adult-white-slide-sandals-z65,Accessories,Shoes,29.5,30.5,30.5,5,7,CN,Forudesigns,Size,11,11
Z38A,Adults Black High Top Canvas Shoes,adults-black-high-top-canvas-shoes-z38a,https://printway.io/product/adults-black-high-top-canvas-shoes-z38a,Accessories,Shoes,37.5,38.5,38.5,5,7,CN,Forudesigns,Size,14,7
Z37A,Adults Black Low Top Canvas Shoes,adults-black-low-top-canvas-shoes-z37a,https://printway.io/product/adults-black-low-top-canvas-shoes-z37a,Accessories,Shoes,37.5,38.5,38.5,5,7,CN,Forudesigns,Size,14,8
Z40A,Adults White High Top Canvas Shoes,adults-white-high-top-canvas-shoes-z40a,https://printway.io/product/adults-white-high-top-canvas-shoes-z40a,Accessories,Shoes,37.5,38.5,38.5,5,7,CN,Forudesigns,Size,14,8
Z68,Black Slip-on Shoes,black-slip-on-shoes-z68,https://printway.io/product/black-slip-on-shoes-z68,Accessories,Shoes,41.5,42.5,42.5,5,7,CN,Forudesigns,Size,11,7
CKS,Chunky Shoes,chunky-shoes-cks,https://printway.io/product/chunky-shoes-cks,Accessories,Shoes,40,41,41,5,7,CN,PG Prints,Color|Size,36,6
CRC,Croc Charms,croc-charms-crc,https://printway.io/product/croc-charms-crc,Accessories,Shoes,,,4.25,1,3,VN,Printway,Style|Size|Title,8,8
AB,Flip Flops,flip-flops-ab,https://printway.io/product/flip-flops-ab,Accessories,Shoes,19.5,20.5,20.5,5,7,CN,Forudesigns,Size,13,7
Z57,Leather boots,leather-boots-z57,https://printway.io/product/leather-boots-z57,Accessories,Shoes,58.5,59.5,59.5,5,7,CN,Forudesigns,Size,19,7
F21,Max Soul Shoes,max-soul-shoes-f21,https://printway.io/product/max-soul-shoes-f21,Accessories,Shoes,36.5,37.5,37.5,5,7,CN,Forudesigns,Color|Size,28,9
Z61,White Adult Mesh Knit Sneakers,white-adult-mesh-knit-sneakers-z61,https://printway.io/product/white-adult-mesh-knit-sneakers-z61,Accessories,Shoes,36.5,37.5,37.5,5,7,CN,Forudesigns,Size,14,6
Z69,White Slip-on Shoes,white-slip-on-shoes-z69,https://printway.io/product/white-slip-on-shoes-z69,Accessories,Shoes,41.5,42.5,42.5,5,7,CN,Forudesigns,Size,11,6
BWDC,Baseball With Display Case,baseball-with-display-case-bwdc,https://printway.io/product/baseball-with-display-case-bwdc,Accessories,Sports,14,14.5,19.5,3,5,CN,Cjzesty,Style,3,8
GTW,Golf Towel,golf-towel-gtw,https://printway.io/product/golf-towel-gtw,Accessories,Sports,14,14.5,17,3,5,CN,Cjzesty,Color|Style,4,11
SPDE,Sports Scarf,sports-scarf-spde,https://printway.io/product/sports-scarf-spde,Accessories,Sports,12.5,13,13,3,5,CN,Dogeprint,Size|,1,7
DCBK,AOP Laundry Basket,aop-laundry-basket-dcbk,https://printway.io/product/aop-laundry-basket-dcbk,Home and Living,Bathroom,17.5,18.5,20,3,5,CN,Relaxlines,Size,2,8
DPKT,Door Cover,door-cover-dpkt,https://printway.io/product/door-cover-dpkt,Home and Living,Bathroom,17.7,18.2,20.4,3,5,CN,Coco,Size,4,7
DKH,Door Knob Hanger,door-knob-hanger-dkh,https://printway.io/product/door-knob-hanger-dkh,Home and Living,Bathroom,3.24,3.74,5.74,1,3,VN,Printway,Style|Material|Size,12,13
TWAU,Towel,towel-twau,https://printway.io/product/towel-twau,Home and Living,Bathroom,1,1,24.73,3,5,AU|US,Custom Cat|Prima,Size,6,15
BEDS,Bedding Set,bedding-set-beds,https://printway.io/product/bedding-set-beds,Home and Living,Beddings,37,38,48.5,5,7,CN,Coco|PG Prints,Size,4,8
QIS,Quilt bedding set,quilt-bedding-set-qis,https://printway.io/product/quilt-bedding-set-qis,Home and Living,Beddings,39,40,59.5,5,7,CN,Coco,Size,7,7
FLBLK,Fleece Blanket,fleece-blanket-flblk,https://printway.io/product/fleece-blanket-flblk,Home and Living,Blankets,8.45,9.45,44.5,1,3,VN|CN|AU,Coco|Dogeprint|Prima|Printway,Size,4,17
FBK,Fleece Blanket -  US,fleece-blanket-us-fbk,https://printway.io/product/fleece-blanket-us-fbk,Home and Living,Blankets,8.74,9.24,14.74,2,3,US,YOYCOL,Size,4,8
QIL,Quilt,quilt-qil,https://printway.io/product/quilt-qil,Home and Living,Blankets,29,30,51.5,5,7,CN,Coco,Size,8,7
WTBLK,Woven Throw Blanket,woven-throw-blanket-wtblk,https://printway.io/product/woven-throw-blanket-wtblk,Home and Living,Blankets,29,30,55,3,5,CN,Cjzesty,Size,3,11
3DWTCB,3D Wooden Tabletop Countdown Calendar Blocks,3d-wooden-tabletop-countdown-calendar-blocks-3dwtcb,https://printway.io/product/3d-wooden-tabletop-countdown-calendar-blocks-3dwtcb,Home and Living,Calendar,9.49,9.99,9.99,1,3,VN,Printway,Size,1,8
CDS,Countdown Desk Sign,countdown-desk-sign-cds,https://printway.io/product/countdown-desk-sign-cds,Home and Living,Calendar,6.5,7,11,1,3,VN,Printway,Material|Style|Size,3,8
CCSWSP,Custom Countdown Sign With Slider Piece,custom-countdown-sign-with-slider-piece-ccswsp,https://printway.io/product/custom-countdown-sign-with-slider-piece-ccswsp,Home and Living,Calendar,10.24,10.74,14.74,1,3,VN,Printway,Material|Size,3,7
1LACH,Custom Shape 1-Layer Acrylic Candle Holder with Wooden Base,custom-shape-1-layer-acrylic-candle-holder-with-wooden-base-1lach,https://printway.io/product/custom-shape-1-layer-acrylic-candle-holder-with-wooden-base-1lach,Home and Living,Calendar,6.49,6.99,10.99,1,3,VN,Printway,Size,3,7
HBWCWS,House Box Wooden Desk Calendar With Storage,house-box-wooden-desk-calendar-with-storage-hbwcws,https://printway.io/product/house-box-wooden-desk-calendar-with-storage-hbwcws,Home and Living,Calendar,16.75,17.25,17.25,1,3,VN,Printway,Size,1,8
ANC,Acrylic Number Cards,acrylic-number-cards-anc,https://printway.io/product/acrylic-number-cards-anc,Home and Living,Cards,,,3.95,1,3,VN,Printway,Size,4,6
CMS,Custom Handwritten Message Card,custom-handwritten-message-card-cms,https://printway.io/product/custom-handwritten-message-card-cms,Home and Living,Cards,,,1.95,1,3,VN,Printway,Size|Color|Style,18,8
1LFAMH,Custom Shape 1-Layer Frosted Acrylic Money Holder,custom-shape-1-layer-frosted-acrylic-money-holder-1lfamh,https://printway.io/product/custom-shape-1-layer-frosted-acrylic-money-holder-1lfamh,Home and Living,Cards,2.95,3.25,3.75,1,3,VN,Printway,Size,3,8
CS1LWGC,Custom Shape 1-Layer Wooden Greeting Card Keeper With Hanging Piece,custom-shape-1-layer-wooden-greeting-card-keeper-with-hanging-piece-cs1lwgc,https://printway.io/product/custom-shape-1-layer-wooden-greeting-card-keeper-with-hanging-piece-cs1lwgc,Home and Living,Cards,6.25,6.75,7.75,1,3,VN,Printway,Size,2,9
CS2LWGC,Custom Shape 2-Layer Wooden Greeting Card,custom-shape-2-layer-wooden-greeting-card-cs2lwgc,https://printway.io/product/custom-shape-2-layer-wooden-greeting-card-cs2lwgc,Home and Living,Cards,5.49,5.99,8.99,1,3,VN,Printway,Size,2,7
3LWSGC,Custom Shape 3-Layer Wooden And Acrylic Gift Card Holder,custom-shape-3-layer-wooden-and-acrylic-gift-card-holder-3lwsgc,https://printway.io/product/custom-shape-3-layer-wooden-and-acrylic-gift-card-holder-3lwsgc,Home and Living,Cards,4.5,5,5,1,3,VN,Printway,Size,1,7
WPZC,Custom Shape 3-Layer Wooden Puzzle Card With Stand,custom-shape-3-layer-wooden-puzzle-card-with-stand-wpzc,https://printway.io/product/custom-shape-3-layer-wooden-puzzle-card-with-stand-wpzc,Home and Living,Cards,5.75,6.25,10.25,1,3,VN,Printway,Size,5,10
CSMHC,Custom Shape Money Holder Card,custom-shape-money-holder-card-csmhc,https://printway.io/product/custom-shape-money-holder-card-csmhc,Home and Living,Cards,6.24,6.74,10.74,1,3,VN,Printway,Material|Size|Color,36,7
WLBCAP,Custom Shape Wooden Loose Leaf Binder Card With Acrylic Pieces,custom-shape-wooden-loose-leaf-binder-card-with-acrylic-pieces-wlbcap,https://printway.io/product/custom-shape-wooden-loose-leaf-binder-card-with-acrylic-pieces-wlbcap,Home and Living,Cards,6.25,6.75,7.75,1,3,VN,Printway,Size,2,7
CSWMC,Custom Shape Wooden Money Gift Card Holder,custom-shape-wooden-money-gift-card-holder-cswmc,https://printway.io/product/custom-shape-wooden-money-gift-card-holder-cswmc,Home and Living,Cards,5.49,5.99,5.99,1,3,VN,Printway,Size,1,7
CWP,Custom Wooden Plaque Card,custom-wooden-plaque-card-cwp,https://printway.io/product/custom-wooden-plaque-card-cwp,Home and Living,Cards,3.25,3.75,3.75,1,3,VN,Printway,Size,1,7
GCS,Gift Card Sleeve,gift-card-sleeve-gcs,https://printway.io/product/gift-card-sleeve-gcs,Home and Living,Cards,6.49,6.99,7.49,1,3,VN,Printway,Material|Size|Style,2,9
MNHC,Money Holder Card,money-holder-card-mnhc,https://printway.io/product/money-holder-card-mnhc,Home and Living,Cards,2.45,2.75,5.5,1,3,VN,Printway,Material|Style|Size,12,13
PMC,Personalized Metal Card,personalized-metal-card-pmc,https://printway.io/product/personalized-metal-card-pmc,Home and Living,Cards,,,2.75,1,3,VN,Printway,Size,1,7
PLCD,Player Card,player-card-plcd,https://printway.io/product/player-card-plcd,Home and Living,Cards,3.97,4.47,13,1,3,VN,Printway,Size,4,9
PCUS,Printed Card - US,printed-card-us-pcus,https://printway.io/product/printed-card-us-pcus,Home and Living,Cards,0.5,0.5,0.5,1,3,US,Pentifine,Size|Style,2,6
WICRD,Wallet Insert Card,wallet-insert-card-wicrd,https://printway.io/product/wallet-insert-card-wicrd,Home and Living,Cards,,,2.75,1,3,VN,Printway,Color|Size|Title,6,14
WICUS,Wallet Insert Card - US,wallet-insert-card-us-wicus,https://printway.io/product/wallet-insert-card-us-wicus,Home and Living,Cards,3.9,4.2,4.54,3,4,US,Pentifine,Color|Size|Title,6,7
WICWE,Wooden Invitation Card With Envelope,wooden-invitation-card-with-envelope-wicwe,https://printway.io/product/wooden-invitation-card-with-envelope-wicwe,Home and Living,Cards,2.65,2.95,2.95,1,3,VN,Printway,Style|Size|Color,6,8
WLLBC,Wooden Loose Leaf Binder Card,wooden-loose-leaf-binder-card-wllbc,https://printway.io/product/wooden-loose-leaf-binder-card-wllbc,Home and Living,Cards,4.24,4.74,6.24,1,3,VN,Printway,Style|Size|Title,4,6
WLL,Wooden Love Letter,wooden-love-letter-wll,https://printway.io/product/wooden-love-letter-wll,Home and Living,Cards,5.49,5.99,5.99,1,3,VN,Printway,Size|Color,12,8
WNC,Wooden Number Cards,wooden-number-cards-wnc,https://printway.io/product/wooden-number-cards-wnc,Home and Living,Cards,3.9,4.2,4.7,1,3,VN,Printway,Size,6,6
WPPC,Wooden Paper Card,wooden-paper-card-wppc,https://printway.io/product/wooden-paper-card-wppc,Home and Living,Cards,4.49,4.99,4.99,1,3,VN,Printway,Material|Size|Color,12,16
DM4060,Door Mat (Sublimation Pet Mat),door-mat-sublimation-pet-mat-dm4060,https://printway.io/product/door-mat-sublimation-pet-mat-dm4060,Home and Living,Floor & Rugs,16.41,16.91,16.91,3,5,AU,Prima,Size,2,10
CP,Doormat,doormat-cp,https://printway.io/product/doormat-cp,Home and Living,Floor & Rugs,14.5,15.5,19.5,3,5,CN,Coco,Size,2,18
ZYRGG,Foldable Round Rug,foldable-round-rug-zyrgg,https://printway.io/product/foldable-round-rug-zyrgg,Home and Living,Floor & Rugs,20,21,44.5,5,7,CN,Relaxlines,Size,5,9
ZYRG,Rectangle Rug,rectangle-rug-zyrg,https://printway.io/product/rectangle-rug-zyrg,Home and Living,Floor & Rugs,33,34,54.5,5,7,CN,Relaxlines,Size,3,9
DMUS,Rubber-Backed Doormat,rubber-backed-doormat-dmus,https://printway.io/product/rubber-backed-doormat-dmus,Home and Living,Floor & Rugs,12.46,12.76,13.29,3,5,US,Gearment,Size,2,11
3DKOWCH,3D Keepsake Ornament With Charm Hook,3d-keepsake-ornament-with-charm-hook-3dkowch,https://printway.io/product/3d-keepsake-ornament-with-charm-hook-3dkowch,Home and Living,Home Decor,10.24,10.74,12.74,1,3,VN,Printway,Material|Size,2,7
FPM,4 Layered Fridge Photo Magnet,4-layered-fridge-photo-magnet-fpm,https://printway.io/product/4-layered-fridge-photo-magnet-fpm,Home and Living,Home Decor,4.7,5.2,11.25,1,3,VN,Printway,Size|Style|Material,30,14
5LFPM,5 Layered Fridge Photo Magnet,5-layered-fridge-photo-magnet-5lfpm,https://printway.io/product/5-layered-fridge-photo-magnet-5lfpm,Home and Living,Home Decor,5.7,6.2,12.25,1,3,VN,Printway,Size|Style|Material,30,6
TB,AOP Banner,aop-banner-tb,https://printway.io/product/aop-banner-tb,Home and Living,Home Decor,12,13,14,3,5,CN,Dogeprint,Size,2,7
ACRC,Acrylic Daily Routine Chart,acrylic-daily-routine-chart-acrc,https://printway.io/product/acrylic-daily-routine-chart-acrc,Home and Living,Home Decor,6.49,6.99,13.49,1,3,VN,Printway,Size,6,9
ADP,Acrylic Desk Plaque,acrylic-desk-plaque-adp,https://printway.io/product/acrylic-desk-plaque-adp,Home and Living,Home Decor,4.99,5.49,6.7,1,3,VN,Printway,Material|Size,12,13
ACP,Acrylic Plaque,acrylic-plaque-acp,https://printway.io/product/acrylic-plaque-acp,Home and Living,Home Decor,5.38,5.88,7.17,1,3,VN,Printway,Material|Size,4,6
ACRWWS,Acrylic Record With Wooden Stand,acrylic-record-with-wooden-stand-acrwws,https://printway.io/product/acrylic-record-with-wooden-stand-acrwws,Home and Living,Home Decor,11.67,12.92,17.62,1,3,VN,Printway,Size|Title,4,8
CMDWRC,Candle Memorial Display With Rocking Chair,candle-memorial-display-with-rocking-chair-cmdwrc,https://printway.io/product/candle-memorial-display-with-rocking-chair-cmdwrc,Home and Living,Home Decor,8.24,8.74,10.74,1,3,VN,Printway,Material|Size|Style,2,7
CBFV,Ceramic Bloom Flower Vase,ceramic-bloom-flower-vase-cbfv,https://printway.io/product/ceramic-bloom-flower-vase-cbfv,Home and Living,Home Decor,14.25,14.75,26.25,3,5,CN,Cjzesty,Size|Style,6,8
CBV,Ceramic Book Vase,ceramic-book-vase-cbv,https://printway.io/product/ceramic-book-vase-cbv,Home and Living,Home Decor,18.75,19.25,21.75,3,5,CN,Cjzesty,Size,2,8
CFDV,Ceramic Flower And Decorative Vase,ceramic-flower-and-decorative-vase-cfdv,https://printway.io/product/ceramic-flower-and-decorative-vase-cfdv,Home and Living,Home Decor,18.25,18.75,23.75,3,5,CN,Cjzesty,Size|Style,6,10
CFLV,Ceramic Flower Vase,ceramic-flower-vase-cflv,https://printway.io/product/ceramic-flower-vase-cflv,Home and Living,Home Decor,5.49,5.99,8.99,1,3,VN,Printway,Size,4,12
CFVUS,Ceramic Flower Vase - US,ceramic-flower-vase-us-cfvus,https://printway.io/product/ceramic-flower-vase-us-cfvus,Home and Living,Home Decor,8.74,9.24,9.24,3,4,US,Pentifine,Size,1,10
CMPP,Ceramic Plant Pot,ceramic-plant-pot-cmpp,https://printway.io/product/ceramic-plant-pot-cmpp,Home and Living,Home Decor,5.94,6.44,6.44,1,3,VN,Printway,Size,1,11
CPGCT,Ceramic Pot with Glass Christmas Tree,ceramic-pot-with-glass-christmas-tree-cpgct,https://printway.io/product/ceramic-pot-with-glass-christmas-tree-cpgct,Home and Living,Home Decor,14,14.5,14.5,3,5,CN,Cjzesty,Style,4,9
CVWGF,Ceramic Vase With Glass Flowers,ceramic-vase-with-glass-flowers-cvwgf,https://printway.io/product/ceramic-vase-with-glass-flowers-cvwgf,Home and Living,Home Decor,4.5,5,16.5,3,5,CN,Cjzesty,Style,25,9
CSMG,Charm Spinner Magnet,charm-spinner-magnet-csmg,https://printway.io/product/charm-spinner-magnet-csmg,Home and Living,Home Decor,4.15,4.45,8.95,1,3,VN,Printway,Material|Style|Size,32,10
CHC,Chore Chart,chore-chart-chc,https://printway.io/product/chore-chart-chc,Home and Living,Home Decor,8.24,8.74,17.74,1,3,VN,Printway,Style|Size,5,6
CMSKUK,Christmas Stocking,christmas-stocking-cmskuk,https://printway.io/product/christmas-stocking-cmskuk,Home and Living,Home Decor,13.55,14.05,14.05,3,5,GB,Print Clever,Size,1,7
CMSK,Christmas Stocking,christmas-stocking-cmsk,https://printway.io/product/christmas-stocking-cmsk,Home and Living,Home Decor,11.95,12.45,12.45,3,5,CN,Coco,Color|Size,3,7
CCWH,Countdown Calendar With Hooks,countdown-calendar-with-hooks-ccwh,https://printway.io/product/countdown-calendar-with-hooks-ccwh,Home and Living,Home Decor,7,7.5,13,1,3,VN,Printway,Material|Size|Style,12,7
CSCWT,Countdown Standing Calendar With Tray,countdown-standing-calendar-with-tray-cscwt,https://printway.io/product/countdown-standing-calendar-with-tray-cscwt,Home and Living,Home Decor,11.49,11.99,11.99,1,3,VN,Printway,Material|Size,1,6
DSFC,Crystal Display Shelf,crystal-display-shelf-dsfc,https://printway.io/product/crystal-display-shelf-dsfc,Home and Living,Home Decor,10.49,10.99,10.99,1,3,VN,Printway,Material|Style|Size,1,6
3DRMC,Custom 3D Relief Metal Coin,custom-3d-relief-metal-coin-3drmc,https://printway.io/product/custom-3d-relief-metal-coin-3drmc,Home and Living,Home Decor,8.05,8.35,14.2,1,3,VN,Printway,Size|Color|Style,15,7
3DRMCUS,Custom 3D Relief Metal Coin - US,custom-3d-relief-metal-coin-us-3drmcus,https://printway.io/product/custom-3d-relief-metal-coin-us-3drmcus,Home and Living,Home Decor,4.75,5.25,22.85,1,3,US,Pentifine,Size|Color|Style,12,8
4LWSD,Custom 4-Layer Wooden Shelf Display,custom-4-layer-wooden-shelf-display-4lwsd,https://printway.io/product/custom-4-layer-wooden-shelf-display-4lwsd,Home and Living,Home Decor,11.5,12,12,1,3,VN,Printway,Size,1,8
CACLH,Custom Acrylic Charm with Loop Hook,custom-acrylic-charm-with-loop-hook-caclh,https://printway.io/product/custom-acrylic-charm-with-loop-hook-caclh,Home and Living,Home Decor,5.1,5.5,9.5,1,3,VN,Printway,Style,4,7
ASNLWPWB,Custom Acrylic Shaker Night Light With Pine Wood Base,custom-acrylic-shaker-night-light-with-pine-wood-base-asnlwpwb,https://printway.io/product/custom-acrylic-shaker-night-light-with-pine-wood-base-asnlwpwb,Home and Living,Home Decor,9.49,9.99,12.49,1,3,VN,Printway,Style|Size,4,10
CACT,Custom Animal Coasters,custom-animal-coasters-cact,https://printway.io/product/custom-animal-coasters-cact,Home and Living,Home Decor,7.74,8.24,8.24,1,3,VN,Printway,Material|Size,1,5
CCWPH,Custom Calendar With Picture Holder,custom-calendar-with-picture-holder-ccwph,https://printway.io/product/custom-calendar-with-picture-holder-ccwph,Home and Living,Home Decor,3.75,4.25,5.25,1,3,VN,Printway,Material|Size|Style,2,6
CDRC,Custom Daily Routine Chart,custom-daily-routine-chart-cdrc,https://printway.io/product/custom-daily-routine-chart-cdrc,Home and Living,Home Decor,5.49,5.99,10.99,1,3,VN,Printway,Material|Style|Size,24,10
CDC,Custom Desk Calendar,custom-desk-calendar-cdc,https://printway.io/product/custom-desk-calendar-cdc,Home and Living,Home Decor,5,6,8,1,3,VN,Printway,Material|Size,2,6
CFFB,Custom Flower Frame Box,custom-flower-frame-box-cffb,https://printway.io/product/custom-flower-frame-box-cffb,Home and Living,Home Decor,20.7,21.7,27.8,5,8,CN,Relaxlines,Size|Color,9,10
CMFM,Custom Music Fridge Magnet,custom-music-fridge-magnet-cmfm,https://printway.io/product/custom-music-fridge-magnet-cmfm,Home and Living,Home Decor,16.74,17.24,17.24,5,7,CN,Dogeprint,Size,1,7
CRK,Custom Reveal Keepsake,custom-reveal-keepsake-crk,https://printway.io/product/custom-reveal-keepsake-crk,Home and Living,Home Decor,4.99,5.49,5.49,1,3,VN,Printway,Material|Style|Size,1,7
1LABWC,Custom Shape 1-Layer Acrylic Block With Charm,custom-shape-1-layer-acrylic-block-with-charm-1labwc,https://printway.io/product/custom-shape-1-layer-acrylic-block-with-charm-1labwc,Home and Living,Home Decor,8.5,9,9,1,3,VN,Printway,Size,1,7
CSADS,Custom Shape 1-Layer Acrylic Desk Sign,custom-shape-1-layer-acrylic-desk-sign-csads,https://printway.io/product/custom-shape-1-layer-acrylic-desk-sign-csads,Home and Living,Home Decor,7,7.5,14.5,1,3,VN,Printway,Size,4,7
1LAPDS,Custom Shape 1-Layer Acrylic Photo Drink Stirrer,custom-shape-1-layer-acrylic-photo-drink-stirrer-1lapds,https://printway.io/product/custom-shape-1-layer-acrylic-photo-drink-stirrer-1lapds,Home and Living,Home Decor,,,2.2,1,3,VN,Printway,Size|Style,2,7
1LARF,Custom Shape 1-Layer Acrylic Rotating Picture Frame,custom-shape-1-layer-acrylic-rotating-picture-frame-1larf,https://printway.io/product/custom-shape-1-layer-acrylic-rotating-picture-frame-1larf,Home and Living,Home Decor,9.49,9.99,9.99,1,3,VN,Printway,Size,1,9
1LARS,Custom Shape 1-Layer Acrylic Rotating Stand,custom-shape-1-layer-acrylic-rotating-stand-1lars,https://printway.io/product/custom-shape-1-layer-acrylic-rotating-stand-1lars,Home and Living,Home Decor,8.49,8.99,8.99,1,3,VN,Printway,Size,1,9
1LASS,Custom Shape 1-Layer Acrylic Stir Stick,custom-shape-1-layer-acrylic-stir-stick-1lass,https://printway.io/product/custom-shape-1-layer-acrylic-stir-stick-1lass,Home and Living,Home Decor,2.15,2.45,5.95,1,3,VN,Printway,Size|Style,6,8
1LASC,Custom Shape 1-Layer Acrylic Suncatcher Sign,custom-shape-1-layer-acrylic-suncatcher-sign-1lasc,https://printway.io/product/custom-shape-1-layer-acrylic-suncatcher-sign-1lasc,Home and Living,Home Decor,10.49,10.99,15.99,1,3,VN,Printway,Size|Style,2,8
1LASWS,Custom Shape 1-Layer Acrylic Suncatcher with Display Stand,custom-shape-1-layer-acrylic-suncatcher-with-display-stand-1lasws,https://printway.io/product/custom-shape-1-layer-acrylic-suncatcher-with-display-stand-1lasws,Home and Living,Home Decor,6.49,6.99,7.99,1,3,VN,Printway,Style|Title,2,7
1LATS,Custom Shape 1-Layer Acrylic Table Tag Sign,custom-shape-1-layer-acrylic-table-tag-sign-1lats,https://printway.io/product/custom-shape-1-layer-acrylic-table-tag-sign-1lats,Home and Living,Home Decor,7.49,7.99,7.99,1,3,VN,Printway,Size,1,7
1LFADS,Custom Shape 1-Layer Frosted Acrylic Desk Sign,custom-shape-1-layer-frosted-acrylic-desk-sign-1lfads,https://printway.io/product/custom-shape-1-layer-frosted-acrylic-desk-sign-1lfads,Home and Living,Home Decor,7,7.5,8.5,1,3,VN,Printway,Size,2,7
1LHFWAV,Custom Shape 1-Layer Hologram Flowers With Acrylic Book Vase,custom-shape-1-layer-hologram-flowers-with-acrylic-book-vase-1lhfwav,https://printway.io/product/custom-shape-1-layer-hologram-flowers-with-acrylic-book-vase-1lhfwav,Home and Living,Home Decor,4.5,5,18.75,1,3,VN,Printway,Material|Title|Style,54,9
1LMACT,Custom Shape 1-Layer Mirror Acrylic Cake Topper,custom-shape-1-layer-mirror-acrylic-cake-topper-1lmact,https://printway.io/product/custom-shape-1-layer-mirror-acrylic-cake-topper-1lmact,Home and Living,Home Decor,4.25,4.75,8,1,3,VN,Printway,Size|Color|Style,20,8
1LMAPS,Custom Shape 1-Layer Mirror Acrylic Plant Stake,custom-shape-1-layer-mirror-acrylic-plant-stake-1lmaps,https://printway.io/product/custom-shape-1-layer-mirror-acrylic-plant-stake-1lmaps,Home and Living,Home Decor,4.49,4.99,5.49,1,3,VN,Printway,Size|Color|Style,4,8
1LMASWC,Custom Shape 1-Layer Mirror Acrylic Plant Stake with Crystal Charm,custom-shape-1-layer-mirror-acrylic-plant-stake-with-crystal-charm-1lmaswc,https://printway.io/product/custom-shape-1-layer-mirror-acrylic-plant-stake-with-crystal-charm-1lmaswc,Home and Living,Home Decor,6.49,6.99,7.99,1,3,VN,Printway,Size|Color|Style,8,8
CSMAS,Custom Shape 1-Layer Mirror Acrylic Standing,custom-shape-1-layer-mirror-acrylic-standing-csmas,https://printway.io/product/custom-shape-1-layer-mirror-acrylic-standing-csmas,Home and Living,Home Decor,5.25,5.75,6.75,1,3,VN,Printway,Size|Color|Style,4,7
1LMAS,Custom Shape 1-Layer Mirror Acrylic Stirrers,custom-shape-1-layer-mirror-acrylic-stirrers-1lmas,https://printway.io/product/custom-shape-1-layer-mirror-acrylic-stirrers-1lmas,Home and Living,Home Decor,1.9,2.2,5.95,1,3,VN,Printway,Size|Color|Style,24,10
1L3DPC,Custom Shape 1-Layer Wooden 3D Pop-Up Card,custom-shape-1-layer-wooden-3d-pop-up-card-1l3dpc,https://printway.io/product/custom-shape-1-layer-wooden-3d-pop-up-card-1l3dpc,Home and Living,Home Decor,2.49,2.99,2.99,1,3,VN,Printway,Size,1,7
1LWBH,Custom Shape 1-Layer Wooden Book Holder With Books Read Tracker,custom-shape-1-layer-wooden-book-holder-with-books-read-tracker-1lwbh,https://printway.io/product/custom-shape-1-layer-wooden-book-holder-with-books-read-tracker-1lwbh,Home and Living,Home Decor,16.5,17,17,1,3,VN,Printway,Size,1,8
1LWBS,Custom Shape 1-Layer Wooden Bookcase Sign,custom-shape-1-layer-wooden-bookcase-sign-1lwbs,https://printway.io/product/custom-shape-1-layer-wooden-bookcase-sign-1lwbs,Home and Living,Home Decor,3.4,3.7,4.2,1,3,VN,Printway,Size,3,7
WCHWM,Custom Shape 1-Layer Wooden Card Holder With Money Tray,custom-shape-1-layer-wooden-card-holder-with-money-tray-wchwm,https://printway.io/product/custom-shape-1-layer-wooden-card-holder-with-money-tray-wchwm,Home and Living,Home Decor,3.49,3.99,3.99,1,3,VN,Printway,Size,1,7
CSWDS,Custom Shape 1-Layer Wooden Desk Sign,custom-shape-1-layer-wooden-desk-sign-cswds,https://printway.io/product/custom-shape-1-layer-wooden-desk-sign-cswds,Home and Living,Home Decor,6.5,7,7,1,3,VN,Printway,Size,1,9
WEHB,Custom Shape 1-Layer Wooden Egg Holder Basket,custom-shape-1-layer-wooden-egg-holder-basket-wehb,https://printway.io/product/custom-shape-1-layer-wooden-egg-holder-basket-wehb,Home and Living,Home Decor,8.49,8.99,8.99,1,3,VN,Printway,Size,1,7
SLWHD,Custom Shape 1-Layer Wooden Hanging Display Stand,custom-shape-1-layer-wooden-hanging-display-stand-slwhd,https://printway.io/product/custom-shape-1-layer-wooden-hanging-display-stand-slwhd,Home and Living,Home Decor,8.49,8.99,8.99,1,3,VN,Printway,Size,1,7
